titulo;preco;desc;erate;url;lat;lng;Quartos;WC's;Tam. do Lote (m²);Ano Construção;Casas de Banho;Total de Assoalhadas;Total m² ;Lugares de Estacionamento;Nº de Andar;Àrea de Construção (m²);Nº Pisos;Tamanho do Lote:;Volume cúbico (m³):
T2 | VIALONGA;129.900 €;Óptimo apartamento de 3 assoalhadas com 90m², pleno de luminosidade e com vista desafogada. A cozinha é totalmente equipada Ariston, possui 2 varandas com 20m2, porta blindada Dierre, videoporteiro, aquecimento central, estores térmicos e eléctricos, caixilharia em alumínio lacado a cinza, vidros duplos, pavimento flutuante nos quartos, banheira de hidromassagem. 1 Lugar de garagem. Exposição solar nascente/poente. Esta urbanização é rodeada por espaços verdes, parque infantil, creche, escolas, bancos, farmácia e todo o tipo de comércio e serviços. Venha visitar! Viva na tranquilidade do campo a 2 minutos de Vialonga e a 15 kms de Lisboa.;B;http://www.remax.pt/Condo-Apartment-For-Sale-Vialonga-Vila-Franca-de-Xira_120531166-10;38.858586;-9.132277;2;;91,00;2006;1;3;91;;2º Andar;91,00;;;
ARRENDAR PARA QUÊ? PODE SER SEU...;99.000 €;T2 NOVO COM CONDIÇÕES ESPECIAIS DE FINANCIAMENTO....Qualidade de construção e acabamentos. Com lugar de estacionamento na cave.Totalmente mobilado e cozinha equipada (placa, forno, exaustor, esquentador, máquina de lavar roupa e combinado).A cerca de 800 metros do nó da A22 (Alcantarilha) e a 2,5 kms da praia de Armação de Pêra.;B;http://www.remax.pt/Condo-Apartment-For-Sale-Alcantarilha-Silves_122371018-304;37.130564;-8.347721;2;;80,00;2013;1;3;80;;1º Andar;;;;
Moradia Triplex inserida em Palácio;1.477.200 €;O Palácio foi atribuído a João Rodrigues, funcionário da casa dos contos, divisão da chancelaria real e, responsável pela administração das receitas e despesas públicas.Nomeado contador-mor, por serviços prestados que incluíam elementos da própria família, decisão, como forma de agradecimento, reconhecida pelo rei D. ManuelI.O Palácio Contador Mor junto ao Castelo de São Jorge, em Lisboa foi completamente recuperado e restituído à cidade, pelos arquitetos Manuel Aires Mateus e Frederico Valsassina.No século XXI quer ser um empreendimento moderno mantendo a traça e os vestígios históricos que remontam ao século XV. Este é um projeto onde se transformou o palácio em seis moradias...;A+;http://www.remax.pt/Two-Family-House-For-Sale-Santiago-Lisbon_120861035-1590;;;4;;;2013;5;5;325;;;;3;;
Moradia Triplex inserida em Palácio;2.024.300 €;O Palácio foi atribuído a João Rodrigues, funcionário da casa dos contos, divisão da chancelaria real e, responsável pela administração das receitas e despesas públicas.Nomeado contador-mor, por serviços prestados que incluíam elementos da própria família, decisão, como forma de agradecimento, reconhecida pelo rei D. ManuelI.O Palácio Contador Mor junto ao Castelo de São Jorge, em Lisboa foi completamente recuperado e restituído à cidade, pelos arquitetos Manuel Aires Mateus e Frederico Valsassina.No século XXI quer ser um empreendimento moderno mantendo a traça e os vestígios históricos que remontam ao século XV. Este é um projeto onde se transformou o palácio em seis moradias...;A+;http://www.remax.pt/Two-Family-House-For-Sale-Santiago-Lisbon_120861035-1591;;;5;;;2013;5;6;441;;;;3;;
Moradia Triplex inserida em Palácio;1.641.300 €;O Palácio foi atribuído a João Rodrigues, funcionário da casa dos contos, divisão da chancelaria real e, responsável pela administração das receitas e despesas públicas.Nomeado contador-mor, por serviços prestados que incluíam elementos da própria família, decisão, como forma de agradecimento, reconhecida pelo rei D. ManuelI.O Palácio Contador Mor junto ao Castelo de São Jorge, em Lisboa foi completamente recuperado e restituído à cidade, pelos arquitetos Manuel Aires Mateus e Frederico Valsassina.No século XXI quer ser um empreendimento moderno mantendo a traça e os vestígios históricos que remontam ao século XV. Este é um projeto onde se transformou o palácio em seis moradias...;A+;http://www.remax.pt/Two-Family-House-For-Sale-Santiago-Lisbon_120861035-1592;;;3;;;2013;4;4;435;;;;3;;
ARRENDAR PARA QUÊ? PODE SER SEU...;89.000 €;T2 NOVO COM CONDIÇÕES ESPECIAIS DE FINANCIAMENTO....Qualidade de construção e acabamentos. Com lugar de estacionamento na cave.Totalmente mobilado e cozinha equipada (placa, forno, exaustor, esquentador, máquina de lavar roupa e combinado).A cerca de 800 metros do nó da A22 (Alcantarilha) e a 2,5 kms da praia de Armação de Pêra.;B;http://www.remax.pt/Condo-Apartment-For-Sale-Alcantarilha-Silves_122371018-301;37.130564;-8.347721;2;;;2013;1;3;65;;1º Andar;;;;
T1 Centro Costa Caparica;84.000 €;Apartamento de 2 assoalhadas, em óptimo estado de conservação, com vidros duplos.Localizado no centro da Costa da Caparica, junto à torre das argolas e terminal dos autocarros.Venha conhecer!;B;http://www.remax.pt/Condo-Apartment-For-Sale-Costa-da-Caparica-ALMADA_122221003-2390;38.64121;-9.230254;1;;54,00;1995;1;2;54;;2º Andar;;;;
VENHA VISITAR A CASA DOS SEUS SONHOS;325.000 €;Moradia geminada inserida numa zona de vivendas onde podemos aliar o conforto de habitar num espaço calmo com áreas verdes á proximidade da metrópole e da praia. Moradia composta por 2 pisos com 7 assoalhadas. No piso 0 (zero) poderá encontrar uma cozinha totalmente equipada AEG e que tem ligação directa à sala.Sala ampla com Lareira e acesso directo a uma  piscina com alto padrão de qualidade de sistema inteligente ainda a um terraço coberto,com barbecue e Garagem .No 1 piso temos 3 Suites todas com pavimento aquecido, com vista lago , e boas áreas. Cave com 135m2, Sala , garrafeira, 2 quartos. Toda a casa tem uma excelente entrada de luz. Venha conhecer e deixe-se apaixonar por uma vista...;B;http://www.remax.pt/Two-Family-House-For-Sale-Ericeira-Mafra_121491224-19;;;5;;454,00;2009;;7;309;;;;;;
Financiamento a 100% c/ spread 2,5%;210.000 €;Apartamento T3, com 3 frentes e com plenas vistas de mar.Sala com 45m², lareira com recuperador de calor, cozinha completamente equipada, aquecimento central, 5 roupeiros embutidos e 3 suites.Lugar de garagem.Óptima oportunidade.;B;http://www.remax.pt/Condo-Apartment-For-Sale-Leca-da-Palmeira-Matosinhos_123681001-88;41.130155;-8.644241;3;;150,00;2007;3;4;140;;1º Andar;;;;
*** ACABÁMOS DE VENDER ***;375.000 €;  *** ACABÁMOS DE VENDER ***;B;http://www.remax.pt/Condo-Apartment-For-Sale-Nossa-Senhora-de-Fatima-Lisbon_123751002-76;38.735678;-9.149923;2;;121,00;2009;3;3;121;;3º Andar;;;;
Excelência de construção, Centralidade e Bom Gosto;224.550 €;T3 novo, à Torrinha, inserido em Empreendimento onde qualidade de construção e o requinte de materiais impera.Suite, cozinha totalmente equipada (Siemens), lugar de garagem para duas viaturas. Caixilharia metálica com rotura térmica, vidros duplos, estores elétricos, aquecimento por caldeira mural.Em termos de localização a centralidade é nota dominante - entre a Boavista/Campo Alegre e o Centro do Porto, próximo da Faculdade de Farmácia e da Maternidade Júlio Dinis. Fácil acesso às autoestradas, Foz do Douro e Centro do Porto. Dispõe de um leque alargado de serviços, comércio e equipamentos culturais assim como acesso a transportes públicos, incluindo o metro.Usufrua ainda das...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Cedofeita-Oporto_123571015-151;41.155119;-8.623927;3;;156,00;2009;2;4;114;;7º Andar;;;;
Moradia Térrea ;130.000 €;Moradia Térrea Cozinha mobilada e equipadaSala comum com recuperador de calor3 Quartos (1 Suite com closet)2 Wc CompletosGaragem fechadaAr condicionado em todas as divisõesPré instalação de painéis solaresNão perca esta excelente oportunidade marque já a sua visita…;B;http://www.remax.pt/House-For-Sale-Conde-Guimaraes_121751060-551;;;3;;153,00;2012;2;4;400;;;;;;
OPORTUNIDADE PARA RENTABILIZAR;89.500 €;Apartamento de duas assoalhadas, com varanda orientada a nascente. Ar condicionado e cozinha equipada. Condomínio com piscinas. Estacionamento na cave. ;B;http://www.remax.pt/Condo-Apartment-For-Sale-Armacao-de-Pera-Silves_121601058-289;37.106182;-8.366041;1;;;2007;1;2;60;1;;;;;
MORADIA EM CONSTRUÇÃO, NA QUINTA DA LOUSA;270.000 €;Ao comprar esta Moradia em Valongo na Quinta da Lousa, estará a investir num imóvel com as seguintes características: Moradia unifamiliar T3, inserida num lote de 300m2, com uma área total de construção de 334,20m2 e área descoberta de 87,57m2. Garagem para 3 viaturas, lavandaria, quatro casas-de-banho, sala comum com terraço, cozinha equipada, recuado multifunções com terraços, e jardim. Características técnicas:  painéis solares,  aspiração central, aquecimento em pedras naturais, recuperador de calor, iluminação em focos led´s, tetos falsos,  pavimento flutuante, caixilharia em vidro duplo, estores eléctricos e portões automáticos. A REMAX está à sua total disposição para o(a) ajudar a...;B;http://www.remax.pt/Two-Family-House-For-Sale-VALONGO-VALONGO_122571108-51;41.212622;-8.510919;3;;305,00;2014;;4;334;;;;3;;
MORADIA EM CONSTRUÇÃO, NA QUINTA DA LOUSA;250.000 €;Ao comprar esta Moradia em Valongo na Quinta da Lousa, estará a investir num imóvel com as seguintes características: Moradia unifamiliar T3, inserida num lote de 300m2, com uma área total de construção de 334,20m2 e área descoberta de 87,50m2. Garagem para 3 viaturas, lavandaria, quatro casas-de-banho, sala comum com terraço, cozinha equipada, recuado multifunções com terraços, e jardim. Características técnicas:  painéis solares,  aspiração central, aquecimento em pedras naturais, recuperador de calor, iluminação em focos led´s, tetos falsos,  pavimento flutuante, caixilharia em vidro duplo, estores eléctricos e portões automáticos. A REMAX está à sua total disposição para o(a) ajudar a...;B;http://www.remax.pt/Two-Family-House-For-Sale-VALONGO-VALONGO_122571108-50;41.212622;-8.510919;3;;300,00;2014;;4;334;;;;3;;
Excelente T3 Novo com PISCINA;250.000 €;Excelente apartamentoT3 NOVO com PISCINA, e dois lugares de estacionamento, em plena Praia da Rocha, junto ao Hotel Algarve e Marina.Usufrua de todo um comércio local, lojas, mercearia, cafés, restaurantes e farmácias, tudo num agradável passeio a pé junto à praia!Contacte-me!;B;http://www.remax.pt/Condo-Apartment-For-Sale-Portimao-Portimao_121211135-88;;;3;;142,00;2010;3;4;142;;;;;;
Excelente T3 Novo com PISCINA;260.000 €;Excelente apartamentoT3 NOVO com PISCINA, e dois lugares de estacionamento, em plena Praia da Rocha, junto ao Hotel Algarve e Marina.Usufrua de todo um comércio local, lojas, mercearia, cafés, restaurantes e farmácias, tudo num agradável passeio a pé junto à praia!Contacte-me!;B;http://www.remax.pt/Condo-Apartment-For-Sale-Portimao-Portimao_121211135-89;;;3;;142,00;2010;3;4;142;;;;;;
T2/T3 na Estefânia;115.000 €;Excelente apartamento em zona central de Lisboa.Este apartamento tem um charme único, cheio de luz e aconchegante, para quem necessita de um lar com muito conforto no centro da cidade.Atualmente está transformado em t2 mais na caderneta predial é um t3.Boa localização próximo de comércio, serviços e transportes públicos.Marque já a sua visita.;B;http://www.remax.pt/Condo-Apartment-For-Sale-Sao-Jorge-de-Arroios-Lisbon_120991311-3;;;2;;;1950;1;4;80;;;;;;
Moradia | Relva (Ponta Delgada);285.000 €;*****PARA CLIENTES QUE EXIGEM OS MAIS ELEVADOS PADRÕES DE QUALIDADE*****Moradia com linhas arquitectónicas modernas, extremamente espaçosa e acolhedora.Comprove a qualidade e conforto desta magnífica moradia e sinta-se na sua próxima casa!;A;http://www.remax.pt/Two-Family-House-For-Sale-Relva-Ponta-Delgada_123541003-460;;;3;;281,00;2012;2;;200;;;;2;;
Moradia T3+1 com aproveitamento sotão;180.000 €;Com apenas 2 anos, isolada, excelentes áreas, cozinha com ilha e equipada Teka ( excepto máquinas de roupa e loiça ), aproveitamento de sotão com salão de jogos, casa de banho, 2 quartos e arrecadação. Lugar estacionamento para 2 viaturas, painéis solares. Aceita permuta por apartamento novo na Charneca Caparica ou Sobreda Caparica;B;http://www.remax.pt/Two-Family-House-For-Sale-Sao-Lourenco-Setubal_120401156-16;38.586995;-9.181763;4;1;347,00;2012;2;6;241;2;;241,00;;;
T3+1 Duplex-Qualidade de construção e urbanística;166.000 €;Apartamento Duplex de 5 assoalhadas com cerca de 130m2, localizado na simpática vila do Samouco (Alcochete), tem na qualidade de construção, nos acabamentos e na paisagem circundante, as suas principais mais-valias que lhe conferem uma personalidade muito própria.Com uma magnífica vista panorâmica sobre o Rio Tejo e Ponte Vasco da Gama, usufrui das vantagens de uma envolvente urbanística formada por moradias, acessos facilitados, baixa densidade demográfica e respetivos índices de tranquilidade, fatores que lhe conferem regalias inequívocas no tocante à qualidade de vida dentro e fora de casa.Descrição e caraterísticas:Hall de entrada com escadaria de acesso ao...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Samouco-Alcochete_123641002-174;38.720729;-9.003172;3;;190,00;2009;2;5;130;;3º Andar;;;;
MORADIA EM ALDEIA DE JUZO;750.000 €;Moradia inserida num lote com 612m2. A moradia está como nova numa arquitectura muito própria entre o contemporâneo e o rústico que resultou na perfeição.Venha visitar. ;B;http://www.remax.pt/Two-Family-House-For-Sale-Cascais-Cascais_121331102-206;38.728914;-9.452345;4;;612,00;2003;3;5;236;;;;;;
APARTAMENTO T4 NO BOAVISTA GARDENS;500.000 €;Empreendimento de luxo em zona privilegiada na Avenida da Boavista e perto da Avenida Marechal Gomes da Costa e da Fundação Serralves em condomínio fechado com segurança 24h.Constituído por apenas 5 edifícios e 27 apartamentos, distribuídos por uma área de 9.000m2 com amplos jardins e áreas comuns que confere privacidade e tranquilidade que necessita.Acabamentos de luxo pensados para o seu conforto: carpintarias lacadas, soalho em madeira, louças suspensas, cozinha GNEISS, vídeo vigilância, painéis solares e pré instalação de ar condicionado.Ao entrar no apartamento temos um amplo hall que dá acesso à cozinha, sala, casa de banho de serviço e hall de distribuição para os...;A;http://www.remax.pt/Condo-Apartment-For-Sale-Lordelo-do-Ouro-Oporto_123631051-182;41.160583;-8.65477;4;1;278,00;2012;3;5;204;4;R/C;204,00;3;;
 Torre São Rafael - T2 Duplex - Vista Frontal Rio;650.000 €;Excelente apartamento T2 Duplex na Torre de São Rafael, com vista frontal de rio, com duas suítes e dois lugares de estacionamento.Contacte-nos!;B;http://www.remax.pt/Duplex-For-Sale-Santa-Maria-dos-Olivais-Lisbon_121211135-86;38.729515;-9.164989;2;1;132,00;2006;2;2;132;;;;;;
APARTAMEMTO T1 COM TERRAÇO NO AMIAL;99.000 €;Apartamento com muita luz devido à sua exposição solar Sul-Este , sendo composto por hall de entrada que dá acesso a todas as divisões do apartamento, Sala com acesso a terraço de 20m². Cozinha equipada com frigorífico combinado, placa de indução, forno e exaustor, que dá acesso a lavandaria fechada.  Casa de banho completa com banheira. Quarto com armário embutido de 4 portas.Com vidro duplo, aquecimento central a gás, porta de segurança fichet, vídeo porteiro.Prédio de 5 andares com 3 fracções por piso, 2 elevadores com 2 caves/garagem. Está localizado junto a escolas, a todo o tipo de comércio e serviços, com transportes perto;B;http://www.remax.pt/Condo-Apartment-For-Sale-Paranhos-Oporto_123631051-195;41.176454;-8.616395;1;;59,00;2003;1;2;39;;1º Andar;;5;;
Proximo da Praia e da Marina;269.000 €;Fantástico apartamento, mobilado, 2 quartos 1 em suite, ar condicionado inserido em condomínio de luxo com jardim, piscina arrecadação e 2 lugares de garagem.Vista mar e perto da Marina e da Praia de Vilamoura.Grande Oportunidade ;B;http://www.remax.pt/Condo-Apartment-For-Sale-Quarteira-Loule_120141071-233;37.079353;-8.116107;2;;;2005;2;3;110;;;;;;
PENTHOUSE C/ TERRAÇO T4+1 JARDINS SÂO LOURENÇO;1.450.000 €;  CONDOMÍNIO PRIVADO  *JARDINS DE SÃO LOURENÇO*  na Rua Soeiro Pereira Gomes, junto á Praça de Espanha e Hospital de Santa Maria. Fantástica Penthouse T4+1 com 252 m2 e um Terraço com 150m2 com uma vista Linda sobre a cidade e o Parque verde de Monsanto. Acabamentos de luxo, cozinha completamente equipada com zona de tratamento de roupas, sala de estar e sala de jantar distintas, 4 suites com casa de banho completa e closet, 1 arrecadação e 5 parqueamentos, podendo adquirir mais parqueamentos caso lhe interesse. O Condomínio fechado com extensas áreas verdes de jardim, tem para uso dos residentes, piscinas aquecidas, ginásio, sala de jogos, zona infantil, zonas de laser com...;A;http://www.remax.pt/Condo-Apartment-For-Sale-Nossa-Senhora-de-Fatima-Lisbon_122481113-153;38.745377;-9.158882;4;1;400,00;2010;4;5;400;;8º Andar;;;;
T3 em Condominio fechado com 177 M2 -  VILLA RESTELO;530.000 €;  Magnifico apartamento de 4 assoalhadas com  uma área de 177 M2, duas frentes o que proporciona uma excelente luminosidade natural. Este apartamento está  localizado no Restelo no Condomínio Villa Restelo, de construção de 2002, tendo já sofrido remodelações totais no ano 2012. O que faz deste apartamento um apartamento Exclusivo dentro do condomínio.Villa Restelo é um Condominio fechado de Excelência localizado no Alto do Restelo, junto ao Monsanto , com acesso fácil ao centro de Lisboa. Este complexo habitacional é  constituído por 18 blocos, num total de 160 apartamentos, respectivas garagens e arrecadações.Para sua segurança, este condomínio tem serviço de...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Santa-Maria-de-Belem-Lisbon_123171050-77;;;3;;240,00;2002;3;4;177;;1º Andar;;;;
Excelente apartamento T1 no Parque no Rio com uma vista Única;160.000 €;Um apartamento com vista de eleição na Zona Norte da Expo.Ótimo apartamento de 2 assoalhadas, na Zona Norte do Parque das Nações, praticamente novo, com parqueamento, na Urbanização Parque do Rio.Venha conhece-lo e faça a sua proposta! Uma oportunidade única.;A;http://www.remax.pt/Condo-Apartment-For-Sale-Santa-Maria-dos-Olivais-Lisbon_123251067-15;38.790272;-9.098571;1;;78,00;2007;1;2;56;;7º Andar;;;;
APARTAMENTO T2 NO ANTAS PREMIÈRE, PORTO;270.000 €;Valor e qualidade. Estética e conforto. Segurança e tecnologia. Sonho e sedução...Este apartamento inserido no Edifício Antas Premier projeta e concretiza o que sempre desejou numa habitação. Inspirado na vivência própria das Antas, encarna uma personalidade contemporânea assente no rigor do projeto, na sua exclusividade e na qualidade de vida.Extremamente bem localizado, beneficia de acessibilidades com acesso às mais importantes vias da cidade do Porto, como a VCI e a Av. de Fernão Magalhães. Beneficia ainda de uma excelente rede de transportes, de onde se destaca a Estação de Metro do Estádio do Dragão.Este apartamento destaca-se, ainda, por estar circundado de todo o tipo de...;A;http://www.remax.pt/Condo-Apartment-For-Sale-Campanha-Oporto_123631051-196;41.165055;-8.583283;2;;;2010;2;3;125;1;2º Andar;;8;;
MORADIA 3 frentes - COLEGIO NOVO DA MAIA;160.000 €;Moradia T3 com 3 frentes e espaços ajardinados na frente e traseiras.Excelente conceito habitacional, onde está privilegiado a calma e sossego, em urbanização maioritariamente de Moradias, localizada no Monte Penedo, junto ao Colégio Novo da Maia.Composta por:- piso em xisto na Sala, corredores - cerâmicas na Cozinha, Lavandaria e Casas de banho- pedra natural nas casas de banho- roupeiros em madeira maciçaPossibilidade de aproveitamento do sótão.;B;http://www.remax.pt/Two-Family-House-For-Sale-Milheiros-Maia_120781049-372;41.226602;-8.578622;3;1;210,00;1997;2;4;153;;;;;;
Apartamento T3 Pachancho;105.000 €;Ao comprar este FANTÁSTICO apartamento T3 localizado em S. Vicente, na zona do Pachancho, em Braga, estará a investir num apartamento com as seguintes características:- Cozinha mobilada e equipada com: placa, forno, exaustor, frigorífico combinado, máquina de lavar roupa e secar, micro-ondas e caldeira a gás- Piso na cozinha em granito preto- Sala com recuperador de calor- Madeira flutuante no chão da sala, corredor e quartos- Suite e dois quartos com roupeiros embutidos- Casa de banho da suite equipada com coluna de hidromassagem- Casa de banho principal bastante ampla- Equipado com aquecimento central completo- Pré-instalação som ambiente-...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Braga-(Sao-Vicente)-Braga_123311003-143;41.560634;-8.413632;3;;118,00;2005;2;4;118;;1º Andar;;;;
V3 + salão, escritório, piscina e excelente vista;229.000 €;V3 de luxo com piscina em Paderne, Albufeira. Desfrute das comodidades: vidros duplos, aspiração central, painéis solares, ar condicionado, piscina privada e do sossego e das vistas campo. RC: jardim, hall, sala comum com área de refeições e sala de estar com lareira, cozinha totalmente equipada, despensa e casa de banho de serviço. 1º andar: hall com clarabóia, casa de banho com duche, 2 espaçosos quartos e uma suite com casa de banho com janela e banheira de hidromassagem. Todos os quartos têm roupeiros forrados a madeira e boas varandas. Cave: garagem, salão, casa de banho completa e escritório. Aprecie o terraço com barbecue e a zona de refeições. Pela ponte de madeira, passe por cima...;B;http://www.remax.pt/Two-Family-House-For-Sale-Paderne-Albufeira_120561265-12;;;3;1;243,00;2009;3;4;185;;;;;;
T1 novo com piscina e campo de ténis;110.000 €;Apartamento novo a estrear com piscina e campo de ténis em Pêra. Relaxe no campo a avistar a praia dos Salgados. O apartamento tem hall de entrada, casa de banho com janela, quarto com roupeiro, kitchenette, sala comum e logradouro com barbecue. Saia da sala e desfrute das piscinas, do amplo relvado e da vista mar. O golfe e a praia dos Salgados ficam a 5 minutos e azáfama de Albufeira a 10 minutos.;B;http://www.remax.pt/Condo-Apartment-For-Sale-Pera-Silves_120561265-10;;;1;;70,00;2011;1;2;70;;;;;;
;182.500 €;Execelente apartamento com dois quartos, um en suite, em condomínio com piscina.Dois lugares de estacionamento(L48 e L49) e arrecadação (A14) na cave.Zona tranquila.;B;http://www.remax.pt/Condo-Apartment-For-Sale-Quarteira-Loule_120141048-2098;37.105763;-8.131406;2;;;2005;2;3;95;;1º Andar;;;;
VENDE MORADIA T5, VERDIZELA (SEIXAL);865.000 €;  Procura uma moradia onde impera a qualidade, o espaço e a tranquilidade?Então encontrou esta casa de sonho!São 7 assoalhadas distribuidas por 660 m2 de área, inseridas num lote de 1.550 m2. Trata-se de uma moradia nova, geminada, de arquitectura moderna. Os acabamentos foram cuidadosamente escolhidos e destacam-se o xisto natural, janelas e portas oscilo-batentes com 7 cm de largura forrados em carvalho natural das Astúrias, flutuante ac 5, estores automáticos centralizado, entre outros. Além dos acabamentos, tem ao seu dispor duas salas, um quarto, uma suite e um jardim de inverno no rés-do-chão, uma mézanine, no piso superior com 3 suites e uma garagem de 280 m2, com...;A;http://www.remax.pt/Two-Family-House-For-Sale-Corroios-Seixal_123211008-171;38.584108;-9.159856;5;;1.550,00;2012;6;7;660;;;;3;;
;185.000 €;Excelente T1 em condomínio recente, situado numa das principais avenidas de Lisboa.Próximo do aeroporto, com áreas muito agradáveis e com cozinha equipada.;B;http://www.remax.pt/Condo-Apartment-For-Sale-Alvalade-Lisbon_122181081-304;38.761508;-9.133997;1;;83,00;2004;1;2;83;;3º Andar;65,00;;;
 Apartamento T3 NOVO com 135 m2 - Entre Quintas;176.130 €;ENTRE O VERDE E O AZUL DO MAR...Com vistas sobre o mar e sobre o porto de Leixões, o "Entre Quintas" é um local onde a modernidade e a história se fundem num ambiente exclusivo e de excelência.Pormenores de distinção:- Condomínio fechado- Piscina- Court de Tenis- Healt Club com sauna, banho turco, jacuzzi- Segurança 24 horas- Cozinha mobilada e equipada- uma suite- Soalho pregado em madeira maciça de Garapa- Caixilharia em alumínio oscilobatente com vidro duplo- Estores eléctricos- Portas de entrada de segurança- Elevadores com variação de velocidade por variação de frequência, gerador para fornecimento alternativo...;B;http://www.remax.pt/Condo-Apartment-For-Sale-Leca-da-Palmeira-Matosinhos_122431029-277;41.19435;-8.692117;3;1;135,00;2006;2;4;135;;Acima do 10º Andar;;;;
R/C 4 ASS. PISCINA E PERTO DA PRAIA!!!;135.000 €;Apartamento com Bons Acabamentos. Complexo com Piscina e Perto da Praia, Restaurantes e Cafés. Constituído por três quartos.Pavimento em Madeira de Tons Claros. Roupeiros Embutidos. Duas Casas de Banho. Cozinha Equipada. Bancada em Granito. Pré-instalação de Ar Condicionado. Alarme. Isolamento Térmico e Acústico.Video porteiro. Possuí Parqueamento.;B;http://www.remax.pt/Condo-Apartment-For-Sale-Cabanas-de-Tavira-Tavira_123371001-289;37.145459;-7.584317;3;1;500,00;2007;1;4;103;1;R/C;;;;
Apartamento T3 NOVO;69.000 €;Apartamento T3 ao nivel do primeiro andar.Possui lugar de garagem e arrecadação.;B;http://www.remax.pt/Condo-Apartment-For-Sale-Currelos-Carregal-do-Sal_122461057-150;40.432957;-8.003747;3;1;580,00;2009;1;4;147;;;;;;
Exelente Oportunidade;145.000 €;Apartamento T2 em condomínio com piscina, a 20 metros de distancia da Meia Praia.Mobilado.;A+;http://www.remax.pt/Condo-Apartment-For-Sale-Lagos-(Sao-Sebastiao)-Lagos_121601101-5;;;2;;1.450,00;1999;1;3;95;;1º Andar;95,00;2;;
Apartamento T3 NOVO;74.000 €;Apartamento T3 ao nivel do segundo andar, composto por cozinha mobilada, sala com recuperador de calor, um quarto suite, duas varandas, pré-instalação de aquecimento central.Possui lugar de garagem e arrecadação.Bem localizado perto das escolas e todos os serviços.;B;http://www.remax.pt/Condo-Apartment-For-Sale-Currelos-Carregal-do-Sal_122461057-152;40.432971;-8.003752;3;1;67,00;2009;1;4;67;;;;;;
Apartamento T3 NOVO;74.000 €;Apartamento T3 desigando pela letra "H", ao nivel do segundo andar, composto por cozinha mobilada, sala com recuperador de calor, um quarto suite, duas varandas, pré-instalação de aquecimento central.Possui lugar de garagem e arrecadação.Bem localizado perto das escolas e todos os serviços.;B;http://www.remax.pt/Condo-Apartment-For-Sale-Currelos-Carregal-do-Sal_122461057-153;40.432956;-8.003747;3;1;67,00;2009;1;4;67;;;;;;
LOCALIZAÇÃO E ESPAÇO;1.100.000 €;Ref. M-307 LAGOS – Porto de MósExcelente moradia com 8 quartos e 7 casas de banho, construída em dois pisos mais enorme cave com área para 5 carros.Inserida em urbanização de prestígio na zona da Praia do Porto de Mós, e construída num excelente lote com 1.617 m2, a moradia oferece acabamentos e equipamentos de alta qualidade e bom gosto.Com uma orientação solar excelente, a piscina e os seus terraços voltados a sul e poente, são das zonas mais atractivas do Imóvel.Ref. M-307 LAGOS – Porto de MósSuperbly designed Villa, with 8 bedrooms, built with high standard finishing’s and equipments.Built in 2 floors plus an immense garage, in basement, suitable for...;B;http://www.remax.pt/House-For-Sale-Lagos-(Santa-Maria)-Lagos_123041002-148;;;8;;1.617,00;2007;7;9;437;;;;;;
SALDOS - ARRENDAR PARA QUÊ? PODE SER SEU...;85.000 €;Apartamento T2, Novo. Até 100% de Financiamento. O preço inclui o mobiliário de todo o apartamento e o equipamento de cozinha.Valor aproximado de € 378 - prestação.;B;http://www.remax.pt/Condo-Apartment-For-Sale-Alcantarilha-Silves_122371015-250;37.130485;-8.347465;2;;68,00;2013;1;3;68;1;;;;;
;167.000 €;Apartamento com 3 quartos, um en suite, em condomínio com piscina.Excelentes áreas.;B;http://www.remax.pt/Condo-Apartment-For-Sale-Quarteira-Loule_120141048-2095;37.091489;-8.122587;3;;;1983;2;4;98;;1º Andar;;;;
T3 TELHEIRAS RECENTE C/GARAGEM E ARRECADAÇÃO;169.000 €;Apartamento T3 em Telheiras em excelente estado de conservação.O prédio tem um terraço nas traseiras de uso privado do condomínio.  Dispõe de garagem e arrecadação. ;B;http://www.remax.pt/Condo-Apartment-For-Sale-Lumiar-Lisbon_120181163-78;38.76826;-9.168006;3;;;1995;2;4;97;;2º Andar;;4;;
;330.000 €;Condomínio Jardins do Cercal, localizado na freguesia de São Francisco, embora envolvido num crescimento urbano, segue o carácter rural, mantendo a sua tranquilidade e hospitalidade, características de um freguesia situada na orla ribeirinha do Tejo entre Alcochete e Samouco. Acabamentos de excelência em condomínio fechado com piscina, ginásio, parque infantil e diversos espaços verdes.;A;http://www.remax.pt/Condo-Apartment-For-Sale-Sao-Francisco-Alcochete_120611240-59;38.732364;-8.971808;4;;215,00;2013;;5;179;;;;;;
